Timestamp,Open,High,Low,Close,Volume
1502928000000,4261.48,4485.39,4200.74,4285.08,795.150377
1503014400000,4285.08,4371.52,3938.77,4108.37,1199.888264
1503100800000,4108.37,4184.69,3850.0,4139.98,381.309763
1503187200000,4120.98,4211.08,4032.62,4086.29,467.083022
1503273600000,4069.13,4119.62,3911.79,4016.0,691.74306
1503360000000,4016.0,4104.82,3400.0,4040.0,966.684858
1503446400000,4040.0,4265.8,4013.89,4114.01,1001.136565
1503532800000,4147.0,4371.68,4085.01,4316.01,787.418753
1503619200000,4316.01,4453.91,4247.48,4280.68,573.61274
1503705600000,4280.71,4367.0,4212.41,4337.44,228.108068
1503792000000,4332.51,4400.0,4285.54,4310.01,350.692585
1503878400000,4310.01,4399.82,4124.54,4386.69,603.841616
1503964800000,4353.65,4625.85,4313.55,4587.48,603.545028
1504051200000,4564.52,4647.51,4416.01,4555.14,808.468771
1504137600000,4555.14,4745.42,4555.14,4724.89,556.956802
1504224000000,4689.89,4885.55,4654.88,4834.91,560.666366
1504310400000,4796.16,4939.19,4286.87,4472.14,929.148595
1504396800000,4508.5,4714.76,4298.33,4509.08,691.216198
1504483200000,4505.0,4527.49,3972.51,4100.11,1394.644614
1504569600000,4106.97,4484.99,3603.0,4366.47,1228.938157
1504656000000,4366.49,4662.87,4335.26,4619.77,807.363726
1504742400000,4619.77,4788.59,4438.19,4691.61,500.429975
1504828800000,4691.66,4735.39,4028.93,4282.8,1132.255046
1504915200000,4282.8,4426.62,4150.06,4258.81,658.782952
1505001600000,4258.81,4283.0,3801.0,4130.37,660.373275
1505088000000,4153.62,4334.43,4098.91,4208.47,699.989065
1505174400000,4208.6,4394.59,4040.8,4163.72,879.630319
1505260800000,4159.72,4165.38,3760.0,3944.69,913.462545
1505347200000,3944.0,3993.0,3165.13,3189.02,1665.021543
1505433600000,3188.01,3856.0,2817.0,3700.0,1968.866492
1505520000000,3674.01,3950.0,3470.66,3714.95,1297.563953
1505606400000,3685.23,3748.21,3499.02,3699.99,682.17121
1505692800000,3690.0,4123.2,3690.0,4035.01,1030.006455
1505779200000,4060.0,4089.97,3830.91,3910.04,902.332129
1505865600000,3910.04,4046.08,3820.0,3900.0,720.935076
1505952000000,3889.99,3910.0,3567.0,3609.99,1001.654084
1506038400000,3592.84,3750.0,3505.55,3595.87,838.966425
1506124800000,3595.88,3817.19,3542.91,3780.0,752.792791
1506211200000,3779.54,3789.99,3622.76,3660.02,661.63639
1506297600000,3660.02,3979.87,3653.69,3920.75,727.994713
1506384000000,3928.0,3976.99,3850.05,3882.35,526.727987
1506470400000,3882.36,4249.94,3872.81,4193.0,628.170966
1506556800000,4192.11,4300.0,4101.0,4174.5,849.785325
1506643200000,4178.98,4263.86,3952.01,4174.69,1602.309565
1506729600000,4175.0,4380.0,4138.1,4378.51,720.353183
1506816000000,4378.49,4406.52,4240.04,4378.48,726.963685
1506902400000,4400.0,4561.63,4360.0,4380.0,655.756974
1506988800000,4380.0,4467.33,4180.8,4310.0,1082.323563
